Last Name,Nationality,Date of Birth,Team,Total Goals,Shots Created per 90 Minutes,Assists
Stewart,Germany,14/09/1991,Arsenal,30,3.8,15
Lee,England,27/07/2002,Chelsea,30,1.47,10
Schmidt,Argentina,19/03/2004,Tottenham Hotspur,30,0.71,8
Carter,England,27/09/1994,Aston Villa,30,2.58,4
Ayala,Germany,22/07/1984,Aston Villa,30,4.86,11
Todd,Sweden,02/01/1998,Liverpool,30,0.99,13
Smith,Portugal,05/01/2001,West Ham United,30,4.96,3
Pollard,England,21/05/1985,Manchester City,30,1.89,10
Rosario,Scotland,29/10/1998,Leicester City,30,1.25,9
Flores,France,10/02/1998,Manchester City,30,2.25,3
Fisher,Portugal,30/04/2000,Everton,30,2.36,13
Lambert,Uruguay,10/11/1987,Leeds United,30,3.98,8
Conrad,Uruguay,29/10/2004,West Ham United,30,0.94,0
Frank,Sweden,10/08/2001,Everton,30,3.31,8
Moore,Portugal,23/11/1998,Arsenal,30,0.71,0
Paul,Brazil,19/06/1986,Leeds United,30,3.33,3
Miles,Germany,05/05/2000,Leicester City,30,3.69,4
Hunt,Sweden,23/02/1992,Leeds United,30,3.55,12
Hill,Denmark,24/08/2000,Leicester City,30,3.04,2
Greene,Scotland,23/11/1985,Manchester United,30,3.9,15
Price,France,25/06/2005,West Ham United,30,4.28,14
Harper,France,05/10/1986,Liverpool,30,2,10
Wang,England,21/11/1996,West Ham United,30,3.5,5
Mccarthy,France,24/09/2001,Leeds United,30,5,3
Huber,England,10/01/1988,Liverpool,30,1.71,12
Hawkins,Sweden,12/09/2001,Tottenham Hotspur,30,4.12,6
White,Brazil,09/07/1987,West Ham United,30,4.56,8
Small,Argentina,08/11/1985,Tottenham Hotspur,30,4.52,6
Dominguez,Scotland,09/03/1995,West Ham United,30,1.22,11
Fitzgerald,Sweden,02/03/1988,Aston Villa,30,1.3,4
Davis,Italy,18/04/1989,Newcastle United,30,3.55,4
Khan,France,29/04/1986,Aston Villa,30,1.25,0
Bautista,Belgium,16/01/1997,Arsenal,30,3.59,6
Jones,Netherlands,28/03/1988,Aston Villa,30,2.06,6
Miller,Argentina,16/06/1998,Leeds United,30,3.15,3
Baker,Denmark,05/02/2004,Aston Villa,30,4.19,9
Harrell,France,17/12/2002,Manchester City,30,3.57,9
Davis,Italy,12/01/1996,Arsenal,30,4.38,11
Grimes,Netherlands,24/09/2001,Manchester United,30,3,14
Cortez,England,21/04/2003,Tottenham Hotspur,30,4.13,10
Mathis,France,01/02/1997,Aston Villa,30,4.06,13
Richard,Denmark,29/04/2006,Manchester United,30,2.79,6
Livingston,Denmark,13/09/1985,Tottenham Hotspur,30,3.61,15
Harris,Denmark,18/09/2004,Newcastle United,30,3.77,13
Moore,Scotland,24/04/1984,Liverpool,30,3.82,0
Mendez,Uruguay,05/01/1995,Chelsea,30,1.48,6
Flores,Germany,01/02/1994,Everton,30,2.79,6
Walters,England,29/05/1999,Newcastle United,30,2.57,5
Rhodes,France,29/06/1986,West Ham United,30,2.5,11
Mann,Portugal,27/10/1993,Leeds United,30,0.98,10
Oliver,Germany,05/09/2000,Tottenham Hotspur,30,4.09,6
Johnson,England,01/06/1997,Newcastle United,30,4.13,9
Johnson,England,26/05/2004,Leicester City,30,3.88,13
Hood,Spain,27/11/2002,Manchester City,30,3.82,2
Alvarez,Sweden,05/07/1998,West Ham United,30,4.1,2
Landry,Scotland,30/06/1986,Newcastle United,30,0.88,12
Chang,Germany,30/04/1990,Everton,30,0.79,5
Smith,Denmark,25/04/2000,Everton,30,1.21,0
Davis,Italy,18/09/1989,Liverpool,30,3.52,11
Sweeney,England,25/11/2005,Newcastle United,30,1.84,5
Haney,Spain,10/03/2002,Manchester United,30,4.61,9
Ellis,Argentina,20/12/2002,Liverpool,30,3.38,11
Hobbs,Uruguay,11/07/1985,Manchester United,30,3.45,8
Harris,Scotland,30/08/2006,Arsenal,30,1.68,14
Adams,Germany,10/02/2006,Liverpool,30,1.35,13
Becker,Sweden,21/03/1984,West Ham United,30,3.18,10
Meyer,Uruguay,19/12/2003,Chelsea,30,1.73,5
Logan,Argentina,08/08/1991,Aston Villa,30,0.54,6
Green,France,15/07/1984,Tottenham Hotspur,30,4.63,11
Molina,Belgium,03/03/2001,Everton,30,0.86,4
Brown,Scotland,24/05/2000,Arsenal,30,2.14,2
Burton,Scotland,28/05/2005,Aston Villa,30,4.89,6
Cook,Brazil,21/11/1990,Leeds United,30,1.68,8
Wilcox,Belgium,18/01/1987,Liverpool,30,3.7,4
Mclaughlin,Germany,07/04/1991,West Ham United,30,1.46,6
Wood,Netherlands,29/01/1995,Chelsea,30,0.97,4
Hernandez,Netherlands,25/11/1994,Newcastle United,30,3.85,15
Patterson,Portugal,06/01/1997,Leicester City,30,2.02,1
Singleton,France,01/01/1993,Everton,30,1.83,3
Gutierrez,Italy,17/07/2001,Tottenham Hotspur,30,2.3,13
Cooper,Portugal,25/03/1999,Chelsea,30,4.15,15
Church,Italy,05/12/1992,Newcastle United,30,3.06,14
Caldwell,Sweden,09/05/1998,Aston Villa,30,2.31,8
Jacobs,Scotland,25/08/1988,Leicester City,30,3.19,4
Mullins,Germany,02/02/1987,Newcastle United,30,0.78,11
Vang,Uruguay,19/06/1999,West Ham United,30,2.88,2
Clayton,England,09/02/1986,Tottenham Hotspur,30,4.48,8
Newton,Spain,10/06/1984,Chelsea,30,3.26,4
Nichols,Denmark,05/04/1990,Arsenal,30,4.28,12
Moss,Germany,15/04/2006,Manchester City,30,2.01,13
Holt,Spain,01/10/1996,Aston Villa,30,4.35,4
Harris,France,23/07/1999,Everton,30,4.38,4
York,Portugal,29/08/1990,West Ham United,30,1.22,7
Wallace,France,24/09/1999,Newcastle United,30,2.02,6
Miller,England,29/04/2001,Everton,30,3.54,4
Gomez,Scotland,26/02/2004,Manchester United,30,0.55,4
Oconnor,Germany,07/08/1986,Aston Villa,30,3.61,8
Ortega,Germany,19/01/2000,Chelsea,30,2.85,0
Torres,Scotland,25/12/1988,West Ham United,30,3.12,4
Lynch,Belgium,24/02/1996,Leeds United,30,4.07,11
Mathis,France,15/07/2002,Leeds United,30,1.82,1
Wong,France,13/11/1990,Manchester United,30,0.81,6
Anthony,Argentina,03/10/1991,Leeds United,30,4.4,10
Barron,Brazil,11/03/1991,Leicester City,30,4.8,1
Lewis,Sweden,13/07/2005,Manchester United,30,1.14,0
Thomas,Italy,20/01/2004,Liverpool,30,2.42,6
Thomas,Germany,27/07/1992,Liverpool,30,0.57,13
Smith,Spain,13/06/2003,Newcastle United,30,4.53,9
Rodriguez,Scotland,22/06/1997,Arsenal,30,1.84,3
Ford,Germany,14/08/1997,Chelsea,30,1.27,9
Daniel,Portugal,25/06/1987,Tottenham Hotspur,30,3.17,12
Anderson,Sweden,03/06/1989,Everton,30,4.78,0
Robinson,England,24/08/1996,Newcastle United,30,2.69,2
Pace,Belgium,04/04/1997,Newcastle United,30,3.26,7
Lopez,Uruguay,05/06/1996,Chelsea,30,4.57,5
Williams,Italy,09/02/1997,Tottenham Hotspur,30,1.22,10
Farrell,Argentina,24/04/1992,West Ham United,30,0.63,1
Lynch,Argentina,04/09/1991,Everton,30,1.41,8
Castillo,Denmark,05/11/1991,West Ham United,30,3.82,14
Cuevas,Spain,09/12/1994,Arsenal,30,1.15,1
Daniels,England,13/03/1985,Leicester City,30,4.15,13
Watson,Denmark,10/04/1991,Everton,30,3.56,4
Duncan,Denmark,22/03/2003,Manchester City,30,4.26,8
Smith,Belgium,23/01/2002,Leeds United,30,1.78,14
Webb,Argentina,04/10/2006,Liverpool,30,2.33,6
Chang,Netherlands,15/04/1998,Chelsea,30,3.71,9
Stewart,Portugal,20/04/2006,Liverpool,30,1.59,8
Patrick,Germany,14/12/2002,Liverpool,30,0.5,10
Beasley,Brazil,19/02/1985,Manchester United,30,0.88,5
Roman,Netherlands,29/07/1989,Manchester City,30,2.82,10
White,England,22/04/2001,Tottenham Hotspur,30,1.32,14
Rodriguez,Italy,01/11/1994,Leeds United,30,1.46,10
Wong,Scotland,27/05/2005,Arsenal,30,1.5,11
